brand,model,size,price,stock
Nike,Air Max,6.0,220.0,4
Nike,Air Max,6.5,220.0,7
Nike,Air Max,7.5,220.0,0
Nike,Air Max,8.0,220.0,3
Nike,Air Max,8.5,220.0,13
Nike,Air Max,9.5,220.0,2
Nike,Air Max,10.0,220.0,2
Nike,Air Max,10.5,220.0,4
Nike,Air Max,11.0,220.0,3
Nike,Air Max,13.0,220.0,5
Nike,Air Force 1,6.0,60.0,3
Nike,Air Force 1,7.0,60.0,16
Nike,Air Force 1,8.0,60.0,0
Nike,Air Force 1,9.0,60.0,2
Nike,Air Force 1,9.5,60.0,4
Nike,Air Force 1,10.0,60.0,4
Nike,Air Force 1,10.5,60.0,2
Nike,Air Force 1,11.0,60.0,1
Nike,Air Force 1,11.5,60.0,1
Nike,Air Force 1,12.0,60.0,23
Nike,Air Force 1,12.5,60.0,10
Nike,Pegasus,6.0,150.0,0
Nike,Pegasus,7.0,150.0,8
Nike,Pegasus,8.5,150.0,22
Nike,Pegasus,9.5,150.0,2
Nike,Pegasus,11.0,150.0,0
Nike,Pegasus,11.5,150.0,2
Nike,Pegasus,12.0,150.0,13
Nike,Pegasus,12.5,150.0,0
Nike,React,6.5,100.0,2
Nike,React,7.0,100.0,0
Nike,React,7.5,100.0,4
Nike,React,8.0,100.0,4
Nike,React,8.5,100.0,5
Nike,React,9.0,100.0,1
Nike,React,9.5,100.0,5
Nike,React,10.0,100.0,4
Nike,React,10.5,100.0,2
Nike,React,11.0,100.0,5
Nike,React,12.0,100.0,20
Nike,React,12.5,100.0,0
Nike,Dunk,6.0,200.0,1
Nike,Dunk,6.5,200.0,1
Nike,Dunk,7.0,200.0,25
Nike,Dunk,7.5,200.0,0
Nike,Dunk,8.5,200.0,1
Nike,Dunk,9.0,200.0,3
Nike,Dunk,9.5,200.0,2
Nike,Dunk,10.0,200.0,0
Nike,Dunk,10.5,200.0,5
Nike,Dunk,13.0,200.0,19
Adidas,Ultraboost,6.0,220.0,5
Adidas,Ultraboost,6.5,220.0,2
Adidas,Ultraboost,7.0,220.0,0
Adidas,Ultraboost,7.5,220.0,5
Adidas,Ultraboost,8.0,220.0,1
Adidas,Ultraboost,8.5,220.0,1
Adidas,Ultraboost,9.0,220.0,5
Adidas,Ultraboost,9.5,220.0,0
Adidas,Ultraboost,10.0,220.0,11
Adidas,Ultraboost,11.0,220.0,20
Adidas,Ultraboost,11.5,220.0,0
Adidas,Ultraboost,12.0,220.0,3
Adidas,Ultraboost,12.5,220.0,1
Adidas,Ultraboost,13.0,220.0,0
Adidas,Stan Smith,6.0,220.0,15
Adidas,Stan Smith,6.5,220.0,8
Adidas,Stan Smith,7.0,220.0,1
Adidas,Stan Smith,7.5,220.0,8
Adidas,Stan Smith,8.0,220.0,3
Adidas,Stan Smith,8.5,220.0,15
Adidas,Stan Smith,9.0,220.0,8
